FAO commodity group,FAO group code,Family,Corrected Species,Original Species,Authority,Notes
Agave fibres nes,800,Asparagaceae,Agave americana,Agave americana,L.,
Agave fibres nes,800,Asparagaceae,Agave angustifolia,Agave angustifolia,Haw.,FAO lists this as Agave letonae F.W.Taylor ex Trel. Which is a snynonym for a variety of A. angustifolia
Agave fibres nes,800,Asparagaceae,Agave cantala,Agave cantala,Roxb.,
Agave fibres nes,800,Asparagaceae,Agave fourcroydes,Agave fourcroydes,Lemaire,
Agave fibres nes,800,Asparagaceae,Agave lecheguilla,Agave lecheguilla,Torr.,
Agave fibres nes,800,Asparagaceae,Furcraea foetida,Furcraea foetida,(L.) Haw. ,FAO lists this as synonym Agave foetida
"Almonds, with shell",221,Rosaceae,Prunus dulcis,Prunus dulcis,(Mill.) D.A. Webb ,"FAO lists P. amygdalus, P. communis, and Amygdalus communis, but these are all synonyms for P. dulcis (as per USDA)"
"Anise, badian, fennel, coriander",711,Apiaceae,Carum carvi ,Carum carvi ,L.,
"Anise, badian, fennel, coriander",711,Apiaceae,Coriandrum sativum ,Coriandrum sativum ,L.,
"Anise, badian, fennel, coriander",711,Apiaceae,Cuminum cyminum ,Cuminum cyminum ,L.,
"Anise, badian, fennel, coriander",711,Apiaceae,Foeniculum vulgare ,Foeniculum vulgare ,Mill.,
"Anise, badian, fennel, coriander",711,Schisandraceae,Illicium verum,Illicium verum,Hook. f.,
"Anise, badian, fennel, coriander",711,Cupressaceae,Juniperus communis,Juniperus communis,L.,
"Anise, badian, fennel, coriander",711,Apiaceae,Pimpinella anisum ,Pimpinella anisum ,L.,
Apples,515,Rosaceae,Malus domestica,Malus pumila,Mill.,"FAO also lists Malus communis, which is a synonym for this species"
Apples,515,Rosaceae,Malus sylvestris,Malus sylvestris,(L.) Mill. ,"FAO also lists Pyrus malus, which is a synonym for this species"
Apricots,526,Rosaceae,Prunus armeniaca,Prunus armeniaca,L.,
Areca nuts,226,Arecaceae,Areca catechu,Areca catechu,L.,
Artichokes,366,Asteraceae,Cynara cardunculus,Cynara cardunculus var. scolymus,L.,
Asparagus,367,Asparagaceae,Asparagus officinalis,Asparagus officinalis,L.,
Avocados,572,Lauraceae,Persea americana,Persea americana,Mill.,
Bambara beans,203,Fabaceae,Vigna subterranea,Vigna subterranea,(L.) Verdc.,
Bananas,486,Musaceae,Musa acuminata,Musa acuminata,Colla,"FAO lists M. sapientum, which is a synonym for a hybrid between M. acuminata and M. balbisiana; FAO also lists M. cavendishii which is a synonym for M. acuminata"
Bananas,486,Musaceae,Musa balbisiana,Musa balbisiana,Colla,
Bananas,486,Musaceae,Musa acuminata,Musa nana,"Parham, non Lour. ",
Barley,44,Poaceae,Hordeum vulgare,Hordeum disticum,L.,
Barley,44,Poaceae,Hordeum vulgare,Hordeum hexasticum,L.,
Barley,44,Poaceae,Hordeum vulgare,Hordeum vulgare,L.,
"Bastfibres, other",782,Malvaceae,Abroma augusta ,Abroma augusta ,(L.) L. f. ,
"Bastfibres, other",782,Malvaceae,Abutilon theophrasti,Abutilon avicennae ,Medik.,
"Bastfibres, other",782,Fabaceae,Crotalaria juncea,Crotalaria juncea,L.,
"Bastfibres, other",782,Malvaceae,Hibiscus cannabinus ,Hibiscus cannabinus ,L.,
"Bastfibres, other",782,Malvaceae,Hibiscus sabdariffa ,Hibiscus sabdariffa ,L.,
"Bastfibres, other",782,Malvaceae,Urena lobata,Urena lobata,L.,
"Bastfibres, other",782,Malvaceae,Urena lobata,Urena sinuata ,L.,
"Beans, dry",176,Fabaceae,Phaseolus coccineus ,Phaseolus coccineus ,L.,
"Beans, dry",176,Fabaceae,Phaseolus lunatus ,Phaseolus lunatus ,L.,
"Beans, dry",176,Fabaceae,Phaseolus vulgaris ,Phaseolus vulgaris ,L.,
"Beans, dry",176,Fabaceae,Vigna aconitifolia,Vigna aconitifolia,(Jacq.) Marechal ,
"Beans, dry",176,Fabaceae,Vigna aconitifolia,Vigna aconitifolia,(Jacq.) Marechal ,"Previously Phaselous aconitifolius or P. aconitifolia (which are both listed by FAO, but have been removed here)"
"Beans, dry",176,Fabaceae,Vigna angularis,Vigna angularis,(Willd.) Ohwi & Ohashi ,
"Beans, dry",176,Fabaceae,Vigna mungo,Vigna mungo,(L.) Hepper ,"Previously Phaselous mungo (which is listed by FAO, but has been removed here)"
"Beans, dry",176,Fabaceae,Vigna radiata ,Vigna radiata ,(L.) R. Wilczek ,"Same as Phaselous aureus (which is listed by FAO, but has been removed here)"
"Beans, dry",176,Fabaceae,Vigna umbellata,Vigna umbellata,(Thunb.) Ohwi & H. Ohashi ,"Previously Phaselous calcaratus (which is listed by FAO, but has been removed here)"
"Beans, green",414,Fabaceae,Phaseolus coccineus ,Phaseolus coccineus ,L.,"FAO only lists Phaseolus spp. and Vigna spp. in this commodity group; however, since it appears to be very similar to the commodity group 176, the species from that group are ascribed to this group (414) as well "
"Beans, green",414,Fabaceae,Phaseolus lunatus ,Phaseolus lunatus ,L.,
"Beans, green",414,Fabaceae,Phaseolus vulgaris ,Phaseolus vulgaris ,L.,
"Beans, green",414,Fabaceae,Vigna aconitifolia,Vigna aconitifolia,(Jacq.) Marechal ,
"Beans, green",414,Fabaceae,Vigna aconitifolia,Vigna aconitifolia,(Jacq.) Marechal ,
"Beans, green",414,Fabaceae,Vigna angularis,Vigna angularis,(Willd.) Ohwi & Ohashi ,
"Beans, green",414,Fabaceae,Vigna mungo,Vigna mungo,(L.) Hepper ,
"Beans, green",414,Fabaceae,Vigna radiata ,Vigna radiata ,(L.) R. Wilczek ,
"Beans, green",414,Fabaceae,Vigna umbellata,Vigna umbellata,(Thunb.) Ohwi & H. Ohashi ,
Berries nes,558,Ericaceae,Gaylussacia baccata,Gaylussacia baccata,(Wangenh.) K. Koch ,FAO cites only Gaylussacia spp. for huckleberry and dangleberry; this species corresponds to the most common (black) huckleberry
Berries nes,558,Ericaceae,Gaylussacia frondosa,Gaylussacia frondosa,(L.) Torr. & A. Gray ex Torr. ,FAO cites only Gaylussacia spp. for huckleberry and dangleberry; this species corresponds to dangleberry
