,Food_code,Main_food_description,novaclass,SR code,SR description,Acceptable List?,Notes
0,11000000,"Milk, human",1,1107,"Milk, human, mature, fluid",Yes,
1,11100000,"Milk, NFS",1,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",Yes,
2,11100000,"Milk, NFS",1,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Yes,
3,11100000,"Milk, NFS",1,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Yes,
4,11100000,"Milk, NFS",1,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Yes,
5,11111000,"Milk, cow's, fluid, whole",1,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",Yes,
6,11111100,"Milk, cow's, fluid, whole, low-sodium",1,1089,"Milk, low sodium, fluid",Yes,
7,11111150,"Milk, calcium fortified, cow's, fluid, whole",1,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",Yes,
8,11111150,"Milk, calcium fortified, cow's, fluid, whole",1,42062,Added calcium,Yes,
9,11111160,"Milk, calcium fortified, cow's, fluid, 1% fat",1,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Yes,
10,11111160,"Milk, calcium fortified, cow's, fluid, 1% fat",1,42062,Added calcium,Yes,
11,11111170,"Milk, calcium fortified, cow's, fluid, skim or nonfat",1,42290,"Milk, fluid, nonfat, calcium fortified (fat free or skim)",Yes,
12,11112110,"Milk, cow's, fluid, 2% fat",1,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Yes,
13,11112120,"Milk, cow's, fluid, acidophilus, 1% fat",1,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Yes,
14,11112130,"Milk, cow's, fluid, acidophilus, 2% fat",1,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Yes,
15,11112210,"Milk, cow's, fluid, 1% fat",1,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Yes,
16,11113000,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",1,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Yes,
17,11114000,"Milk, cow's, fluid, filled with vegetable oil, NS as to percent fat",1,1060,"Milk, filled, fluid, with lauric acid oil",No,
18,11114100,"Milk, cow's, fluid, filled with vegetable oil, whole",1,1060,"Milk, filled, fluid, with lauric acid oil",No,
19,11114200,"Milk, cow's, fluid, filled with vegetable oil, lowfat",1,1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",Yes,
20,11114200,"Milk, cow's, fluid, filled with vegetable oil, lowfat",1,4047,"Oil, coconut",Yes,
21,11114200,"Milk, cow's, fluid, filled with vegetable oil, lowfat",1,14429,"Water, tap, municipal",Yes,
22,11114300,"Milk, cow's, fluid, lactose reduced, 1% fat",1,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Yes,
23,11114310,"Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium",1,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",Yes,
24,11114310,"Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium",1,42062,Added calcium,Yes,
25,11114320,"Milk, cow's, fluid, lactose reduced, nonfat",1,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",Yes,
26,11114321,"Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium",1,42290,"Milk, fluid, nonfat, calcium fortified (fat free or skim)",Yes,
27,11114330,"Milk, cow's, fluid, lactose reduced, 2% fat",1,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",Yes,
