Taxa,Classification
Abelmoschus esculentus,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Acacia aneura,Food products n.e.c. (Class)
Acacia cyclops,Food products n.e.c. (Class)
Acacia murrayana,Food products n.e.c. (Class)
Acca sellowiana,Fruit
Acer saccharum,"Sugar, jam, honey, chocolate and confectionery"
Acer saccharum subsp. leucoderme,"Sugar, jam, honey, chocolate and confectionery"
Acer saccharum subsp. nigrum,"Sugar, jam, honey, chocolate and confectionery"
Achillea millefolium,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium subsp. ceretanica,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium subsp. sudetica,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. alpicola,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. arenicola,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. borealis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. californica,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. gigantea,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. lanulosa,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. litoralis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. millefolium,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. pacifica,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Achillea millefolium var. puberula,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Acrocomia aculeata,Oils and fats
Actinidia chinensis,Fruit
Actinidia deliciosa,Fruit
Adansonia digitata,Fruit
Adansonia gregorii,Fruit
Adonidia merrillii,Fruit
Aegle marmelos,Fruit
Agastache foeniculum,Food products n.e.c. (Class)
Agave americana,Food products n.e.c. (Class)
Agave sisalana,Food products n.e.c. (Class)
Ageratum conyzoides,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium ampeloprasum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium ampeloprasum subsp. ampeloprasum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium ampeloprasum var. babingtonii,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium cepa,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Allium chinense,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
